channel_id,talk_id,ts,thread_ts,talk_user,text,date
CHJN0BV89,1995def4-19e1-431f-9cf4-959fa9ae5de8,1555655214.0003,1555655214.0003,UGQV9DXRC,0419 全体ゼミ,2019-04-18
CHJN0BV89,611a5c2e-ea3a-42d3-9e64-4b23adf5be53,1555655228.0004,1555655214.0003,UGQV9DXRC,,2019-04-18
CHJN0BV89,a9d483f0-0248-4fbf-9324-06a052569ab8,1555303748.0006,1555303748.0006,UGQV9DXRC,"0416学生ゼミ資料
発表プレゼン資料+論文をupしてください",2019-04-14
CHJN0BV89,8c8e7290-7ee1-45df-9f9d-0bdd563f0444,1555303880.0018,1555303748.0006,UGQV9DXRC,鈴木論文,2019-04-14
CHJN0BV89,a5e8e2e2-09fa-414d-b53a-9d55515bfedb,1555304207.0025,1555303748.0006,UGQV9DXRC,鈴木ゼミ資料,2019-04-14
CHJN0BV89,ae39144b-9e4d-43db-b1cc-32db14e7b423,1558411067.0001,,UHEH8KZ7W,,2019-05-20
CHJN0BV89,9afb93f0-ba59-4655-920e-0c3b0e50390c,1558411622.0004,,UHEH8KZ7W,,2019-05-20
CHJN0BV89,ea436932-49e1-456a-b174-a8d9a1d05215,1558411630.001,,UHEH8KZ7W,青線の部分です,2019-05-20
CHJN0BV89,c905ad10-4a34-4e1f-a673-fb48acc85b02,1555924565.0005,1555924565.0005,UGQV9DXRC,"0423学生ゼミ資料
B4は発表プレゼン資料+論文をupしてください",2019-04-22
CHJN0BV89,54518831-e0ce-46be-803f-bdc66a984b0e,1555988863.0001,1555924565.0005,UHC5VBV5E,根本 論文,2019-04-22
CHJN0BV89,418c25d8-7202-4398-952a-ba7f09937247,1555988886.0005,1555924565.0005,UHC5VBV5E,根本 資料,2019-04-22
CHJN0BV89,ba09d6c6-71e9-4902-847b-6dd1a2dd9552,1555379784.0001,1555303748.0006,UGQ2ENZD0,清水ゼミ論文,2019-04-15
CHJN0BV89,900256ca-0722-49f3-8be6-38371da568b3,1555379798.0005,1555303748.0006,UGQ2ENZD0,清水ゼミ資料,2019-04-15
CHJN0BV89,ff3c408c-662f-47ff-9cbf-8a9180eb26f4,1555383088.0001,1555303748.0006,UHG1M1NQ6,都竹ゼミ論文,2019-04-15
CHJN0BV89,58c2d766-b714-4934-a405-fc8d9a1b411a,1555383122.0005,1555303748.0006,UHG1M1NQ6,都竹ゼミ資料,2019-04-15
CHJN0BV89,b2683923-bdd4-454d-ba78-0a55523705e5,1555385233.0009,1555303748.0006,UHC5VBV5E,根本 論文,2019-04-15
CHJN0BV89,2e04073b-6db9-4651-8748-b91aeb31c3a5,1555385272.0013,1555303748.0006,UHC5VBV5E,根本 ゼミ 資料,2019-04-15
CHJN0BV89,e210585c-5d50-423b-bbfc-d0c47ca263a3,1555386862.0017,1555303748.0006,UGPH97FDW,,2019-04-15
CHJN0BV89,c3d70f99-07ab-46c2-b304-72aa751d0aa4,1555388473.0021,1555303748.0006,UGPH97FDW,<https://www.ncbi.nlm.nih.gov/m/pubmed/30458798/>,2019-04-15
CHJN0BV89,ff221bf1-d6ad-4c67-9722-af801e1eb1f8,1555393674.0024,,UGQ2ENZD0,,2019-04-15
CHJN0BV89,1142ddea-9853-4ac2-aad5-22cf1eaa00c9,1559823361.0001,,UGQ2ENZD0,,2019-06-06
CHJN0BV89,44cbd161-0324-4061-8c4f-6edad1433647,1559274866.0001,,UGPH97FDW,,2019-05-30
CHJN0BV89,155659dc-0186-4f97-9b95-d346e6cab428,1559009094.0001,,UHEH8KZ7W,,2019-05-27
CHJN0BV89,29c131cb-77cd-4523-8c4e-2c4dc93f1376,1559011291.0015,,UHFLC6N4X,<https://ohkawaralab.slack.com/archives/CHGBW1WUC/p1559011244000500>,2019-05-27
CHJN0BV89,771ab0ad-0433-49af-af9d-b5882f6fbf22,1559015117.002,,UGQ2ENZD0,,2019-05-27
CHJN0BV89,3c0dcf2a-b40a-474e-9879-5e12537e8da7,1559016821.0023,,UGPH97FDW,もっていこうと考えている資料です。,2019-05-27
CHJN0BV89,4dda0d27-5540-4304-a816-df1178365d1b,1559017763.003,,UHEH8KZ7W,,2019-05-27
