channel_id,talk_id,ts,thread_ts,talk_user,text,date
CHGBW1WUC,514a6db5-cb45-49ad-a964-09437c77d0d0,1554175410.0011,,UGPH97FDW,学部のときの卒論です,2019-04-01
CHGBW1WUC,60b76500-ecf1-4a69-af4f-738cdd327e16,1554176265.0014,,UGPH97FDW,星野さんの修論です。,2019-04-01
CHGBW1WUC,32d73e18-24bc-4c6b-a108-5c13aea43e60,1554183911.0053,,UGPH97FDW,"1週間後の学生ゼミまでに僕か星野さんの卒論を5分くらいで紹介できるようにパワポにまとめてください。
背景、目的、手法、結果の4項目で大丈夫です。
とりあえず読んでみようということなので、手法の細かい中身や値の理解までは無理にしなくても大丈夫です。",2019-04-01
CHGBW1WUC,bd89ad69-dc40-49bb-9164-5e27e782bcf8,1558061123.0001,,UHFLC6N4X,先行研究1,2019-05-16
CHGBW1WUC,86e2a97f-e214-4d41-9763-40c1ab6855d0,1558063600.0004,,UHFLC6N4X,先行研究2,2019-05-16
CHGBW1WUC,29467250-4b58-4137-89ad-7d95611d8703,1555589813.0002,,UHFLC6N4X,岡田さんの卒論まとめ(画像多すぎるため省略して作成),2019-04-18
CHGBW1WUC,8e69b217-fcfd-4efd-b985-36f37cacb951,1559035059.0029,,UHFLB6JPR,"この資料では議論できないから議論できるような資料に修正してください
どうしたらいいかわからないようであれば、院生に相談してください",2019-05-28
CHGBW1WUC,776f02dc-2560-4269-a397-199d8d5224c2,1559037023.0194,1559037023.0194,UGQV9DXRC,"確認できておらず申し訳ないです:bow:
岡田くんからもアドバイスがあったと思いますが、私からも少し
わからなかったら聞いてください",2019-05-28
CHGBW1WUC,625358ef-98b7-487b-a4cc-533c916035b7,1559037038.0195,1559037023.0194,UGQV9DXRC,"①論文を探すことになった背景を始めに追加
&gt;　星野さん、岡田くんの研究を踏まえて、今まではデータ内部に時間をかけてきたが成果が出づらい部分があったこと
&gt;　成果重視で研究を進める為に、データ自体ではなく学習器に着目して、より良い精度で分析できる学習器を探していきたいと考えている",2019-05-28
CHGBW1WUC,29dba1ef-5e83-4d6a-a092-5e4ab76bc30d,1559037053.0197,1559037023.0194,UGQV9DXRC,"②学習器についての説明を図などで追加
&gt;　肝心なアンサンブル学習とは何か、それ以外の学習はどう使ったのかをざっくりでもわかるようにしたほうが良い(論文中にアルゴリズムの図解がある)
&gt;　それぞれを細かく説明するのではなく、様々な手法があるということが視覚的に伝われば良い(先生は専門家ではないので)",2019-05-28
CHGBW1WUC,44c68304-d7b1-4778-aff2-a2a4a0f571f8,1559037185.0199,1559037023.0194,UGQV9DXRC,"③結果を明確に、表も加える
&gt;　discussionによれば、高精度だった学習器はWMVfusionとrandomforestのどちらかだと言う話だったはず
&gt;結果の表やグラフを載せておかないと議論のネタがなくなる",2019-05-28
CHGBW1WUC,609e7aa2-10d5-4e73-bca7-3e6d0744e139,1559051198.0203,,UHFLC6N4X,訂正版,2019-05-28
CHGBW1WUC,6781860c-aff3-49cb-b4e1-78b4bb75cdd9,1558082074.0007,,UGQV9DXRC,,2019-05-17
CHGBW1WUC,8609379f-3af9-4c2f-a582-8308bf3d41bd,1558082359.001,,UGQV9DXRC,,2019-05-17
CHGBW1WUC,99279346-0a76-4e13-a422-413b73726720,1558082480.0019,,UGQV9DXRC,Detection of type...の方が使ってる手法が少なくて簡単だと思うのでそっちから読むといいかも,2019-05-17
CHGBW1WUC,e6b0a81f-864d-4e73-b908-fb9aa15a8dbf,1558083553.0041,1558083553.0041,UHFLB6JPR,"いや、そっちは1種類だから、目的とは違うかな
上の論文みたいなことで、結果重視の検討出来ないかなと",2019-05-17
CHGBW1WUC,ce4d0474-c5a9-4008-9560-0cbb0e5ff2b6,1558083785.0043,1558083553.0041,UGQV9DXRC,"なるほどです
確かにEnsemble Methodsの方は学習器の比較をしてるので検討材料にはなると思います。
機械学習調べ始めだとしたらいきなりヘビーかなと思っただけでした:man-bowing:",2019-05-17
CHGBW1WUC,851c657b-31ff-4093-810a-b4567c759a88,1563851147.0001,,UHFLC6N4X,,2019-07-22
CHGBW1WUC,edf29a7a-89fb-4c3e-8d26-9ede3f62570f,1559011594.0011,,UHFLC6N4X,論文翻訳,2019-05-27
CHGBW1WUC,d06bf1ce-f84b-49a3-a91c-63f7493ef156,1561079116.0001,,UHFLC6N4X,しんちょく(6/21),2019-06-20
