channel_id,talk_id,ts,thread_ts,talk_user,text,date
CHKNXRS4F,cac1e574-e0b3-409b-ab83-90c24aad3b14,1554623014.0039,,UGQ2ENZD0,"エラーと解決の共有についてですが，Git(とGithub)を使った方が良いと思います．(コードが共有できればリモートでも作業できる)
<https://adtech.cyberagent.io/techblog/archives/2317>
このサイトの「.ipynb を .py ファイルに保存したい」で.pyを自動生成すれば，.ipynbと違って直接pythonのコードを管理できるので，.py出力をわざわざしなくても済みそうです(もちろんjupyter上で.pyにエクスポートしてGitに突っ込んでもOKです)
PyCharmであれば.pyベースでコーディングするのでそのままGitに流し込めると思います．",2019-04-07
CHKNXRS4F,6f9a4919-64e8-4827-bf46-500888764f1e,1554683816.0005,,UGQV9DXRC,うひー全然何がなんだかなので明日教えてもらえると助かります,2019-04-07
CHKNXRS4F,24ad7ad6-3570-40e4-82f1-b8e520ac0dcd,1554683881.0016,1554683881.0016,UGQV9DXRC,ちなみに↑のapplyとlambdaの使い方はぺーちゃんわかる？,2019-04-07
CHKNXRS4F,860bf371-1249-48cd-adbc-88bb76c0c898,1554683960.0017,1554683881.0016,UGQ2ENZD0,わかんないです。実際に動かせればわかるかもですが,2019-04-07
CHKNXRS4F,7cf8f2a2-bbc4-4325-a11a-492bb070a812,1554683973.0019,1554683881.0016,UGQV9DXRC,ありがとー,2019-04-07
CHKNXRS4F,b472118f-29ed-4fa8-a5cd-6989ed8d58fe,1554192729.0009,1554192729.0009,UGQV9DXRC,todo,2019-04-02
CHKNXRS4F,bc160de8-2f46-45fa-b1a5-1c7f640bd5f2,1554193147.0015,1554193147.0015,UGQV9DXRC,図書館から借りた本,2019-04-02
CHKNXRS4F,65fde979-c365-45cd-ad83-4b40a6c0e174,1554193287.0022,1554193287.0022,UGQV9DXRC,勉強お役立ちリンク,2019-04-02
CHKNXRS4F,514540f7-defd-4c5e-83af-c67eaaed3346,1554193306.0025,1554193306.0025,UGQV9DXRC,決定木ランダムフォレスト関連リンク,2019-04-02
CHKNXRS4F,b3243971-4846-4d67-86e2-d1a206391942,1554193338.0027,1554193147.0015,UGPH97FDW,Python 1年生 体験してわかる！会話でまなべる！プログラミングのしくみ,2019-04-02
CHKNXRS4F,1a48ae4c-1d2e-4c25-bfa2-283cfff2c8d0,1554193354.0029,1554193306.0025,UGQV9DXRC,"決定木とランダムフォレストでタイタニックの生存者データを分析
<http://www.randpy.tokyo/entry/python_random_forest>",2019-04-02
CHKNXRS4F,02b3e1f6-2658-4699-a6fa-5cc7a6799a00,1554193376.0032,1554193147.0015,UGPH97FDW,わかるPython[決定版],2019-04-02
CHKNXRS4F,e0b66e78-f694-4ef6-82e9-3b2917b31821,1554193424.0042,,UGPH97FDW,ニューラルネットワーク関連リンク,2019-04-02
CHKNXRS4F,88fcb696-1aca-48f4-bdd3-cf954fa1eca5,1554193445.0045,1554193445.0045,UGQV9DXRC,私はとりあえずタイタニックをやってみる,2019-04-02
CHKNXRS4F,930436c7-ddad-4cd3-8e3b-66fa49a0fe7d,1554193518.0047,1554192729.0009,UGQV9DXRC,python関連のインストールしておいてほしいものを通知,2019-04-02
CHKNXRS4F,8e59ea4e-97d7-470a-b166-0891cf0de2ed,1554193724.0051,1554193445.0045,UGPH97FDW,引き続きアヤメの例をみてみる,2019-04-02
CHKNXRS4F,30f1e9d1-9c43-4a46-8ee2-d69444c73496,1554196058.0062,,UGQV9DXRC,タイタニックのやつ、一応精度を出すところまではエラーなしで再現できた。意味はまだ不明～:koki_good:,2019-04-02
CHKNXRS4F,53ed983c-9bda-40f5-9bdf-f742a6eab9c1,1554865127.0006,,UGQV9DXRC,とどいた,2019-04-09
CHKNXRS4F,c6abec7d-5939-44d9-9539-635a6ef62c20,1554885002.0001,1554193306.0025,UGQV9DXRC,"タイタニック
<https://www.codexa.net/kaggle-titanic-beginner/>",2019-04-10
CHKNXRS4F,2f45bb38-78aa-4a8d-aad2-292c4d9ad041,1554885105.0004,1554193306.0025,UGQV9DXRC,"タイタニック
一番細かく書いてある
<https://lp-tech.net/articles/0QUUd>",2019-04-10
CHKNXRS4F,a21ef446-0a93-42f8-9f64-f406dafc7c39,1554886024.0007,,UGQV9DXRC,こんな感じで書き始めた,2019-04-10
CHKNXRS4F,2a50bf89-5e32-430f-8a51-e1a68706e1ce,1554896270.0005,,UGQV9DXRC,"<https://weblab.t.u-tokyo.ac.jp/gci_contents/>
知り合いに教えてもらった
参考になるかも",2019-04-10
CHKNXRS4F,e8a3815d-91d9-4ff3-b329-e65ac1b8b4b2,1554896287.0007,1554193287.0022,UGQV9DXRC,<https://weblab.t.u-tokyo.ac.jp/gci_contents/>,2019-04-10
CHKNXRS4F,1102055a-34ad-48a9-9162-4e0b3b184c89,1554449646.0001,,UGQV9DXRC,,2019-04-05
CHKNXRS4F,fb410de9-466d-4bad-83c4-21f612509a3e,1554453002.0032,,UGQV9DXRC,"HELP!!
#カテゴリ変数の変換の1行目、apply()とlambdaの使い方がやっぱりわからない。
もしここのapplyの中にdefで宣言した変数を入れてたらどうなるんだろう？と思って色々試したけどエラーが出る",2019-04-05
CHKNXRS4F,bfa4c91e-562a-4cb9-93cc-b48d1f61a6ba,1554453052.0033,,UGQV9DXRC,,2019-04-05
