channel_id,talk_id,ts,thread_ts,talk_user,text,date
CKWT4TANP,09d68e81-1451-45cb-92b0-2d3377c4ecc2,1563196938.0003,1562744242.0011,UGQV9DXRC,<https://drive.google.com/file/d/1b3JIwWJ5zePovA-HqGUFkKfBo6p-H_wm/view?usp=drivesdk>,2019-07-15
CKWT4TANP,cdee7664-e42d-4799-ac60-9526e99a08d8,1563249989.0005,1562744242.0011,UHFLC6N4X,2,2019-07-15
CKWT4TANP,5485a684-9bca-4d78-833c-b378b44e2e64,1563249995.0009,1562744242.0011,UGPH97FDW,,2019-07-15
CKWT4TANP,d56639d6-bef3-443a-a89f-d71500125fa6,1563250525.0018,,UHG1M1NQ6,,2019-07-15
CKWT4TANP,8f889a3e-63bb-42f2-8715-8c13c2ad59c3,1563250771.0041,1563250771.0041,UGQV9DXRC,"2.9までで
標本から母分散を推定するのに、何故不偏分散を使うか？ということについて質問があったのでまとめておきました。参考までに",2019-07-15
CKWT4TANP,3d97ffe7-c943-43f6-afed-549e187f8b7f,1563250803.0042,1563250771.0041,UGQV9DXRC,,2019-07-15
CKWT4TANP,d240bf6a-5219-4609-ae1e-49ea5baf7e3e,1563250809.0046,1563250771.0041,UGQV9DXRC,,2019-07-15
CKWT4TANP,f45afbc7-604f-4520-a8ea-7a8961e40b5a,1563250868.0055,1563250868.0055,UGQV9DXRC,"次は、7/23の学生ゼミまでに3.9の通過テストまで
<http://kogolab.chillout.jp/elearn/hamburger/chap3/sec0.html>

通過テストをクリアした人は、ここにチェック+ファイルをリプライ形式でアップ",2019-07-15
CKWT4TANP,e0110681-5e73-49f9-b001-0a06d7e685ae,1564385647.0002,1564114096.0017,UHEH8KZ7W,シート:4章にあります！,2019-07-29
CKWT4TANP,c4a255f7-6e7b-4f20-b3cf-cc982acb1fad,1564389357.0006,1564114096.0017,UHFLC6N4X,,2019-07-29
CKWT4TANP,4f87aca0-47a7-4b3e-a5a5-603284e7a16e,1564444814.0001,,USLACKBOT,リマインダー : 統計課題の提出.,2019-07-29
CKWT4TANP,ecc9c777-bd36-4bf2-81eb-e5c1307afe38,1564445412.0004,1564114096.0017,UGQV9DXRC,<https://drive.google.com/file/d/1b3JIwWJ5zePovA-HqGUFkKfBo6p-H_wm/view?usp=drivesdk>,2019-07-29
CKWT4TANP,a0c8389b-9eec-4e91-a099-aefa8f665e9e,1564456280.0001,1564114096.0017,UHG1M1NQ6,,2019-07-29
CKWT4TANP,64463776-720a-44c5-a061-a354f8a754fe,1564457480.0005,1564114096.0017,UGPH97FDW,,2019-07-29
CKWT4TANP,446d6ba8-17b5-4cb6-8687-e4784e584037,1564311951.0005,,UHC5VBV5E,"こっちですかね
<http://kogolab.chillout.jp/elearn/hamburger/chap4/sec0.html>",2019-07-28
CKWT4TANP,36ed498d-4728-4c66-9987-3e34a1bbb023,1564312024.0011,,UGQV9DXRC,そうだね、ごめん、4のとこまでです,2019-07-28
