channel_id,talk_id,talk_user,reaction_user,emoji,date
CTQ3V3ACR,b921bd5c-b778-434b-a5ab-3523d8120fdd,UHFLB6JPR,UHV3GN694,custom_shochi,2020-02-26
CTQ3V3ACR,b921bd5c-b778-434b-a5ab-3523d8120fdd,UHFLB6JPR,UHG1M1NQ6,custom_shochi,2020-02-26
CTQ3V3ACR,19c3caf0-5de1-4b5a-a92a-d052da9c6ceb,UHFLB6JPR,UHC5VBV5E,custom_shochi,2020-03-17
CTQ3V3ACR,19c3caf0-5de1-4b5a-a92a-d052da9c6ceb,UHFLB6JPR,UHV3GN694,custom_shochi,2020-03-17
CTQ3V3ACR,19c3caf0-5de1-4b5a-a92a-d052da9c6ceb,UHFLB6JPR,UGQV9DXRC,custom_shochi,2020-03-17
CTQ3V3ACR,19c3caf0-5de1-4b5a-a92a-d052da9c6ceb,UHFLB6JPR,UHG1M1NQ6,custom_shochi,2020-03-17
CTQ3V3ACR,d177ef4c-d503-43d1-b65d-2167719de6e2,UHFLB6JPR,UHC5VBV5E,custom_ok,2020-03-13
CTQ3V3ACR,d177ef4c-d503-43d1-b65d-2167719de6e2,UHFLB6JPR,UHEH8KZ7W,custom_ok,2020-03-13
CTQ3V3ACR,d177ef4c-d503-43d1-b65d-2167719de6e2,UHFLB6JPR,UHG1M1NQ6,custom_ok,2020-03-13
CTQ3V3ACR,d177ef4c-d503-43d1-b65d-2167719de6e2,UHFLB6JPR,UGQV9DXRC,custom_ok,2020-03-13
CTQ3V3ACR,d177ef4c-d503-43d1-b65d-2167719de6e2,UHFLB6JPR,UHV3GN694,custom_ok,2020-03-13
CTQ3V3ACR,eadf0222-c7cc-4e23-87da-4ee9473b1166,UHFLB6JPR,UHC5VBV5E,custom_shochi,2020-02-13
CTQ3V3ACR,a8ab9ec4-577c-450b-ac47-a1ba44bd7dbd,UHFLB6JPR,UGQV9DXRC,custom_shochi,2020-02-13
CTQ3V3ACR,a8ab9ec4-577c-450b-ac47-a1ba44bd7dbd,UHFLB6JPR,UHC5VBV5E,custom_shochi,2020-02-13
CTQ3V3ACR,5c34c091-42e9-4da2-9fa8-aeed3df2b5fc,UHFLB6JPR,UGQV9DXRC,custom_shochi,2020-03-03
CTQ3V3ACR,5c34c091-42e9-4da2-9fa8-aeed3df2b5fc,UHFLB6JPR,UHV3GN694,custom_shochi,2020-03-03
CTQ3V3ACR,5c34c091-42e9-4da2-9fa8-aeed3df2b5fc,UHFLB6JPR,UHC5VBV5E,custom_shochi,2020-03-03
CTQ3V3ACR,ae812f0e-c307-4c49-9dc0-f04191939e44,UHFLB6JPR,UGQV9DXRC,custom_shochi,2020-02-23
CTQ3V3ACR,ae812f0e-c307-4c49-9dc0-f04191939e44,UHFLB6JPR,UHC5VBV5E,custom_shochi,2020-02-23
CTQ3V3ACR,a262c9a0-795a-42ed-ad5f-0450fb20ebed,UHFLB6JPR,UHV3GN694,custom_shochi,2020-02-23
CTQ3V3ACR,9bc0b2ac-9a1a-4d46-9403-83b913f0f64e,UHV3GN694,UGQV9DXRC,+1,2020-02-23
CTQ3V3ACR,71039cff-4c05-442b-a130-9967da12a88d,UHEH8KZ7W,UGQV9DXRC,+1,2020-02-23
CTQ3V3ACR,b5d82edb-e27c-406d-ac07-5e7f08fce469,UGQV9DXRC,UHC5VBV5E,custom_shochi,2020-02-18
CTQ3V3ACR,f70055c1-49e3-42df-ba66-5ba4c1f0b0ff,UGQV9DXRC,UHC5VBV5E,custom_shochi,2020-02-28
CTQ3V3ACR,f70055c1-49e3-42df-ba66-5ba4c1f0b0ff,UGQV9DXRC,UHV3GN694,custom_shochi,2020-02-28
CTQ3V3ACR,d4d514e9-6c9f-4792-a5e0-1d32c8e18092,UHEH8KZ7W,UGQV9DXRC,+1,2020-02-28
CTQ3V3ACR,d4d514e9-6c9f-4792-a5e0-1d32c8e18092,UHEH8KZ7W,UHV3GN694,+1,2020-02-28
CTQ3V3ACR,8aba244e-93d4-40ae-a8f8-8d227ac9fc0e,UHFLB6JPR,UHEH8KZ7W,man-bowing,2020-02-28
CTQ3V3ACR,59163b07-cb71-4af9-af32-ffa395844f49,UHEH8KZ7W,UHV3GN694,woman-gesturing-ok,2020-02-27
CTQ3V3ACR,9c7113ac-6aa5-43fc-8453-d650e8f6c3a9,UHFLB6JPR,UGQV9DXRC,custom_shochi,2020-02-27
CTQ3V3ACR,3194dfa7-8732-4d79-a998-c2da8f19c783,UHFLB6JPR,UHC5VBV5E,custom_shochi,2020-03-12
CTQ3V3ACR,3194dfa7-8732-4d79-a998-c2da8f19c783,UHFLB6JPR,UHEH8KZ7W,custom_shochi,2020-03-12
CTQ3V3ACR,3e254ae4-6731-4004-ab48-9da5950efb03,UHFLB6JPR,UHV3GN694,custom_shochi,2020-02-19
CTQ3V3ACR,60a55b6e-9dc3-41fb-a983-62a2d113dea3,UHFLB6JPR,UGQV9DXRC,bow,2020-02-25
CTQ3V3ACR,60a55b6e-9dc3-41fb-a983-62a2d113dea3,UHFLB6JPR,UHC5VBV5E,bow,2020-02-25
CTQ3V3ACR,16f987a1-90a8-40e1-8457-2bf19c3d1aea,UHEH8KZ7W,UGQV9DXRC,+1,2020-02-25
