channel_id,talk_id,ts,thread_ts,talk_user,text,date
CGSKZQ63H,753a150b-d724-42d7-9ab4-a00ea3f94f48,1558578736.0002,,UGQV9DXRC,<https://drive.google.com/open?id=1_vRUmLyn3_11u4O91C_EcV35-KVXOhSm>,2019-05-22
CGSKZQ63H,5a8bb28d-03e8-4f16-91f4-81730d2ece71,1558589008.0005,,UGQ2ENZD0,,2019-05-22
CGSKZQ63H,2b4f4e9b-c927-43c1-b660-44319f821434,1558590049.0013,,UGQ2ENZD0,,2019-05-22
CGSKZQ63H,571a3ea7-8002-4937-b62a-06572f317c4d,1558590069.0016,,UGQ2ENZD0,,2019-05-22
CGSKZQ63H,a9459897-2504-451c-8e35-15c9c05046cd,1558593557.0027,,UGQ2ENZD0,,2019-05-22
CGSKZQ63H,bd1105c4-f94e-4b4a-8e4e-38cb773cbac6,1558594063.0035,,UGQ2ENZD0,,2019-05-22
CGSKZQ63H,39147b8b-f4d8-4121-a9c5-d1beb704d6d6,1558594091.0048,,UGQ2ENZD0,申請書本体と計画書について，役割分担の項目が抜けていたので加筆いたしました．,2019-05-22
CGSKZQ63H,4411d393-74dc-4e20-97c2-2b85650f9cfb,1558594209.0049,,UGQ2ENZD0,,2019-05-22
CGSKZQ63H,c177ee31-09dc-494c-a5e6-8c3e97e6d032,1558008912.0027,,UGQ2ENZD0,実験で用いる質問紙,2019-05-16
CGSKZQ63H,87237642-6125-4f70-9e38-8a9c097e0cc5,1558008958.0034,,UGQ2ENZD0,,2019-05-16
CGSKZQ63H,e2c9c076-4b2d-4777-b256-22e93dcbd85d,1558595672.0062,,UHFLB6JPR,"作成資料のリスト表で何があって、何がないかを確認したいです。
ここにベタ打ちでいいから",2019-05-23
CGSKZQ63H,2ac14659-f075-4119-bb32-89fc71486f66,1558613346.0125,,UGQ2ENZD0,"連絡が遅れて申し訳ありません．
以下，現在の状況です．
```
あるもの
・倫理審査申請書
・同意書
・同意撤回書
・研究計画書
・同意説明文

資料
1．スクエアステップ資料(山崎先輩のものを使用)
2．食品摂取の多様性評価票
3．CCSの質問紙
4．基本チェックリスト
5．システムの主観評価用のアンケート

資料そのものがない
・フレイル予防のコンセプト
・システムの詳細

資料内での説明が不足している
・Pre -&gt; 介入 -&gt; Postの流れで実験を実施すること (倫理審査申請書，計画書，同意説明文)
```",2019-05-23
CGSKZQ63H,cfffa9e0-aef0-425c-a033-2abc892682f9,1558667082.0127,,UGQ2ENZD0,,2019-05-23
CGSKZQ63H,13359d18-0595-4b57-b61f-2348faa33d9f,1558667900.0136,,UHFLB6JPR,"倫理申請に関する資料を印刷して持ってきてください。
それから、データファイル一括をメールしてください。",2019-05-23
CGSKZQ63H,17a8a463-6963-4a18-a25c-4c4d9e0eae64,1558669160.0138,,UGQ2ENZD0,,2019-05-23
CGSKZQ63H,3dc7c61f-f0d2-498e-b666-ab4eb0422c9d,1558680617.0005,,UHFLB6JPR,改めて完成したものを一式そろえてメールしてください。,2019-05-23
CGSKZQ63H,5a2051ee-6500-4bf3-a278-28b8dca06be0,1558680639.0009,,UHFLB6JPR,今夜は手を付けないので、明日以降で大丈夫です。,2019-05-23
CGSKZQ63H,a57ac525-f0d2-4ef5-ae4c-2d009fd4ba58,1559911851.0005,,UGQ2ENZD0,,2019-06-07
CGSKZQ63H,bbfa14f4-42ac-40c6-88f4-92bfec6e2014,1559951858.0001,,UGQ2ENZD0,,2019-06-07
CGSKZQ63H,547d9c8a-950e-45c3-afa2-11ea6fc7f742,1559951892.0004,,UGQ2ENZD0,,2019-06-07
CGSKZQ63H,3977124a-5120-4d8c-80f9-9fbc6e551673,1559951909.0007,,UGQ2ENZD0,,2019-06-07
CGSKZQ63H,787ca87b-d57d-42c3-abd8-14b68177334e,1559952678.0012,,UHFLB6JPR,図4だけど、bとCに有意差は認められたっけ？,2019-06-07
CGSKZQ63H,b3955660-f7c1-421c-89a3-bbac2e9b7903,1559966580.0003,,UGQ2ENZD0,認められてないと思います．,2019-06-07
CGSKZQ63H,73db3949-50d7-4c48-b082-a3db32d5974a,1559973406.0009,,UGQ2ENZD0,図4の縦軸のラベルの単位を修正しました,2019-06-07
CGSKZQ63H,f05cc845-6cdb-4ce7-926c-cc8f64b337df,1559976967.0017,,UHFLB6JPR,有意差ないなら、矢印は消して,2019-06-07
CGSKZQ63H,9f21c625-5dff-4d5e-8370-6d5ee8aada55,1558864940.0004,,UHFLB6JPR,ファイルのタイトルがまた文字化けです,2019-05-26
CGSKZQ63H,bc0866bf-92fc-45ac-877b-49dd20da5621,1558913277.0001,,UGQ2ENZD0,,2019-05-26
CGSKZQ63H,af4cd585-5128-4dfc-8153-a15ed1573eb2,1558913361.0012,,UGQ2ENZD0,shift-jisで変換しているはず なのでこれが文字化けしているなら原因不明です．,2019-05-26
CGSKZQ63H,88e018ee-3ef7-4d1d-a89f-2f0686e1076c,1558922502.0001,,UGQ2ENZD0,両方の文字コードで圧縮しました。文字化けしない方のファイルを使ってください,2019-05-26
CGSKZQ63H,a9a43200-4213-4c88-a301-9bb538fab6ae,1558923195.0043,,UGQ2ENZD0,"いくつか試して見たので報告します
WIndows10標準の圧縮･解凍だと，Shift-JIS -&gt; UTF8, UTF8 -&gt; Shift-JIS の両方で文字化けします．
Lhaplusも同様です．
7zipも同様の結果となりましたが，圧縮時に cu=on を指定するとWindowsの文字コードに依存せずに解凍ができることを確認しました．なのでこの方法で圧縮したものを送ります．",2019-05-26
CGSKZQ63H,35938117-aad3-477f-8e78-4feb2b90877f,1558923316.0044,,UGQ2ENZD0,このzipなら文字化けしないはずです．同様のファイルをメールで送ります,2019-05-26
CGSKZQ63H,4afedaee-4b77-477c-b947-68a5be747d9c,1558926112.0067,,UHFLB6JPR,"・北越先生の役割を記載
→「コンテンツ開発の助言」
・北越先生の電話番号追加　
→大学の研究室につながる外線でいいです
・計画書や説明文内の研究体制などにも先生の名前を追加する",2019-05-26
CGSKZQ63H,f8bc91ac-0dab-414a-a0b1-31d38d4ab672,1558926362.0076,,UGQ2ENZD0,外線番号については公開されていないので，北越先生にお送りする際に聞く形でよろしいでしょうか,2019-05-26
CGSKZQ63H,9f9a3309-20a2-433a-b1d3-da7c6a801baf,1558929610.0081,,UHFLB6JPR,先にそれだけ伺ってください,2019-05-26
CGSKZQ63H,f8561fff-4a27-44f0-9732-e75758684bad,1558930530.0083,,UGQ2ENZD0,電話番号を除き，指定箇所を修正しました．,2019-05-26
