channel_id,talk_id,ts,thread_ts,talk_user,text,date
CGNQF4DTJ,2b0bd4ef-a669-492f-88d6-80bcbe8538e4,1558594149.0009,,UGQV9DXRC,,2019-05-22
CGNQF4DTJ,283e91b5-6b2b-42b2-bab1-fbad066f80d1,1555054284.0036,,UGQV9DXRC,特徴量の紐づけができた～～わーいわーい,2019-04-12
CGNQF4DTJ,937f6e2d-af25-4540-b663-49f8b4703dc9,1555058097.0041,1553587662.0023,UGQV9DXRC,<https://www.ncbi.nlm.nih.gov/pubmed/20302417>,2019-04-12
CGNQF4DTJ,1af40b96-ac9c-405d-b104-c0a844c9aef6,1555058116.0044,1553587662.0023,UGQV9DXRC,<https://www.ncbi.nlm.nih.gov/pubmed/27372275>,2019-04-12
CGNQF4DTJ,be87b79f-3fd4-4553-a151-a59490bb1c34,1555061035.0067,,UGQV9DXRC,"Todo
&gt;①論文レビュー
&gt;　特徴量の紐づけほぼ終わり(あと一本請求中)
&gt;　請求出来たら画像にまとめてイントロ書いて完成にしちゃいたい
&gt;②titanicのpython決定木→python講習資料
&gt;　解釈途中、講習資料で形にしながら考えてる
&gt;③自分のデータでpython決定木
&gt;データ整理をMTALABでやろうとして調べてる",2019-04-12
CGNQF4DTJ,04a76f2f-2e83-4a9a-927a-2829bd3f8cfe,1558864737.0001,,UHFLB6JPR,,2019-05-26
CGNQF4DTJ,ea65ff11-57da-4789-97da-a88a3107d287,1558864847.0022,,UHFLB6JPR,"（〇、〇）の2箇所は
１）字数の制限
２）重要度
の順番で、
・両方加筆
・活動種目のみ加筆
・特徴量のみ加筆
・加筆しない
を選択してください",2019-05-26
CGNQF4DTJ,6fe96c11-15da-4702-813f-f26128e85b6f,1558876870.001,,UGQV9DXRC,"確認が遅くなり申し訳ありません。
上記の件については、字数の関係から両者を加筆できなかった為、特徴量のみを加筆しました。",2019-05-26
CGNQF4DTJ,cdccb51b-196d-4c44-ae19-0cddd9f0e73d,1558890119.0034,,UHFLB6JPR,"（生値、フィルタリング処理値、生値の絶対値、フィルタリング処理値の絶対値）
はどう？
今の書き方だと、4種類以上あるように感じると思います",2019-05-26
CGNQF4DTJ,3034af8b-88cd-452c-95ed-53396bdbb783,1558915254.0013,,UGQV9DXRC,"承知しました、訂正します
ありがとうございます",2019-05-26
