channel_id,talk_id,ts,thread_ts,talk_user,text,date
CHGBUNZRS,2fbd95e0-f1e3-48b7-8989-78ba76223f74,1568876484.0016,,UHFLB6JPR,再際→開催,2019-09-19
CHGBUNZRS,32b86619-3052-4424-8061-0cfac004ba03,1568876528.0029,1568876528.0029,UHFLB6JPR,"↑アブスト一枚目
他も誤字脱字とか自分で確認してよ",2019-09-19
CHGBUNZRS,cc45bace-ad95-4708-b7f6-368d7dbc0c7f,1568876603.0036,,UGQV9DXRC,"図3のところ、一応正式な書類だから""モチベ""じゃなくて""モチベーション""と書いた方がいいかも",2019-09-19
CHGBUNZRS,cbbd98e7-d1f7-4631-9a37-a768aedc0eff,1568876635.0042,1568876635.0042,UGQV9DXRC,先にスライド見てコメントつけたら送ります,2019-09-19
CHGBUNZRS,713864c8-f905-4feb-a95c-aa2493a0dae2,1568876782.0043,1568876528.0029,UHG1M1NQ6,"1度確認したのですが見落としていました。
もう1度細かく見て直します。",2019-09-19
CHGBUNZRS,8877b1bc-5a87-45ab-8dae-fd07aeabd343,1568876850.0047,1568876635.0042,UHG1M1NQ6,"モチベーションへ変更しました。
承知しました。ありがとうございます。",2019-09-19
CHGBUNZRS,67b00e20-274f-48fa-925c-fb667bfac17c,1568877235.0059,,UGQV9DXRC,まだ時間ある？どんな感じで説明するか聞きながらスライド見たいんだけど、slack電話つなげられるかな？？,2019-09-19
CHGBUNZRS,1e165d5d-7a94-46b6-a003-6a66085c04ee,1568877329.006,1568877329.006,UGQV9DXRC,一応今ざっとみた,2019-09-19
CHGBUNZRS,4071bc57-cc5d-469a-9dc2-b57d09a9b7d7,1568877722.0065,1568877329.006,UHG1M1NQ6,時間大丈夫です。ありがとうございます。,2019-09-19
CHGBUNZRS,c7c2c568-156c-47a0-ab10-2a683bf44404,1568877769.0067,1568877329.006,UGQV9DXRC,そしたらこっちからかけるからちょいまって！,2019-09-19
CHGBUNZRS,9f448db7-a56d-4680-8ef8-7a1af264d672,1568877839.007,1568877329.006,UHG1M1NQ6,承知しました。,2019-09-19
CHGBUNZRS,a8302196-44e3-4e6e-af34-478835135ecf,1568878632.0077,,UGQV9DXRC,"永井君の卒論発表のとき
こんな感じで初めにグラフが入れられると充実してくるかなあ
<https://drive.google.com/open?id=1By9VpIBqhQ3xCK08DYGXBSiYsTpLRunc>",2019-09-19
CHGBUNZRS,75515d08-92e1-412e-ab88-adecc36d3d8c,1568878812.0103,,UHG1M1NQ6,なるほど。。確かにグラフなどで具体的な数字が出てくると変わりますね。。自分のスライドにも付け加えてみます！,2019-09-19
CHGBUNZRS,36261264-0216-42d2-9ae8-f00d06766438,1568903832.0107,,UHG1M1NQ6,誤字脱字確認・修正済み,2019-09-19
CHGBUNZRS,6d691d24-f25b-48fb-ae8b-fd54a2a99066,1581608131.0001,,UHG1M1NQ6,,2020-02-13
CHGBUNZRS,6e053038-45c7-4506-9ab9-73064a6e9c3e,1575957140.0001,,UHG1M1NQ6,,2019-12-09
CHGBUNZRS,fdf4e7b0-d0bb-4d88-8fda-470b0416d66b,1575957168.0003,,UHG1M1NQ6,,2019-12-09
CHGBUNZRS,cf3a58b4-df3a-4950-b515-2818bdfd5482,1577160213.0001,,UHG1M1NQ6,,2019-12-23
CHGBUNZRS,a7601c6a-b52b-4032-8e33-00374773d473,1578846297.0086,,UHG1M1NQ6,"12日(日)にやったこと
• 複数枚(3枚)の同時ダウンロード機能
• ニフクラのDBデータ追加機能
• データ更新機能
などの機能を作ってみたがこれまでのものを組み合わせるとエラーが発生してしまっているため、早く解消させる。
その後複数端末での操作を試みる。",2020-01-12
CHGBUNZRS,35a757b5-0896-47e1-8af1-fba1cbb2fc3a,1579164081.0073,,UHG1M1NQ6,ありがとうございます。頑張ります。,2020-01-16
CHGBUNZRS,aed60aec-4010-4525-bad6-202dee2172c2,1579226736.0042,,UHG1M1NQ6,"16日(木)にやったこと
• プログラム構成の大幅な変更
• それに伴うエラーの処理(1番時間かかった)
• 空白のimageViewタップ時に画像を差し込む機能
• ユーザーがお気に入りの3枚を自由にギャラリーから選べる機能
• 画像タップ時の拡大機能にボタンを配置
• ボタンから新たにお気に入りの画像を更新する機能",2020-01-16
CHGBUNZRS,3130939c-34a0-4c57-b3cb-a62d2f7b41ee,1568876114.0002,,UHG1M1NQ6,,2019-09-18
CHGBUNZRS,ec1c0410-9be6-457a-84cb-3859b9bacc39,1568876126.0005,,UHG1M1NQ6,,2019-09-18
CHGBUNZRS,c451343a-f9f4-40b1-815f-cf626204a728,1568876162.0008,,UHG1M1NQ6,,2019-09-18
CHGBUNZRS,ee6e7bc7-1a25-4d75-9eaa-112804060955,1581408733.0001,,UHG1M1NQ6,"バイトに行く前に現時点でのスライドをアップしておきます。
帰ってきたらまた急いで進めます。",2020-02-11
CHGBUNZRS,a598313e-46ea-401f-ae7f-2ff3b0840891,1581440430.0004,,UHG1M1NQ6,抄録、スライド、原稿,2020-02-11
CHGBUNZRS,39547244-eb28-4e70-9c45-4ea1ac67d088,1581470623.0001,,UHFLB6JPR,,2020-02-11
CHGBUNZRS,e1acf0d2-61a8-4733-9114-59479f5a3073,1581470656.001,,UHFLB6JPR,"少し修正しました。
これで抄録はOKです。
アップしてください。",2020-02-11
CHGBUNZRS,903e38b9-0efc-42c9-89d1-d6ee2d3b9900,1581471996.0016,,UHG1M1NQ6,承知しました。何度も修正して頂きありがとうございました。,2020-02-11
CHGBUNZRS,c415b994-4637-4f5b-b4a9-892862fbd0cb,1581475467.0001,,UGQV9DXRC,,2020-02-11
CHGBUNZRS,c9eaf0eb-ff89-4960-910b-7eaa8e05664b,1579016621.004,,UHG1M1NQ6,"14日(火)にやったこと
• 3日間で作ったものを学生ゼミで確認して頂いた
• コードを見やすくするため中身訂正
• ある画像を
タップした時の画像拡大機能",2020-01-14
CHGBUNZRS,5373cbf1-a41c-4252-ba00-1ccfafae9b1b,1573192598.001,,UHG1M1NQ6,"・日記表示部分機能的な面は完了
・あとはレイアウト",2019-11-07
CHGBUNZRS,2ca48fc9-b548-4549-9dff-cbec2e707023,1569207461.0002,,UHG1M1NQ6,,2019-09-22
CHGBUNZRS,e129eea6-05ca-40a2-bbee-5901dad81926,1569207472.0005,,UHG1M1NQ6,,2019-09-22
CHGBUNZRS,a997a2bc-149b-4908-b679-af120319335a,1567437296.0057,,UGQV9DXRC,"中間抄録についてです

都竹くんは山崎さんの運動教室がベースになるのかな
アプリを使うことについては清水くんの卒論も参考になると思う、今抄録お願いしてます:bow:

基本はその二つをベースに、自分のやりたいことや目的に合わせて情報を加えて抄録の背景を書けばよいと思う。
先生と話をする前に目を通して背景のイメージをつけておくと面談がスムーズかも。

山崎　中間抄録
<https://drive.google.com/file/d/1uzTIbfDtgrLinRK1ALTlmBUUNToh0aJY/view?usp=drivesdk>",2019-09-02
CHGBUNZRS,a26ebd5e-a79d-4285-bc1e-0f6d3ae468ce,1578932859.0142,1578932859.0142,UHG1M1NQ6,"13日(月)にやったこと
• 前日のエラー解消(理解するのに時間かかった)
• ユーザーアカウント作成機能
• ユーザー情報を基にしたデータ更新機能
• 他のユーザーが登録した画像の表示機能
とりあえずネットワーク接続してあれば、数名でそれぞれのタブレットから同時にコンテンツを確認することはできると思う。

今回作成したプログラムのGitHubリポジトリ
<https://github.com/t1610442/CloudExample>",2020-01-13
CHGBUNZRS,c8bc081c-e28b-4153-80e4-d79b26e944d5,1578933233.0148,,UHG1M1NQ6,"クラウドデータベース管理用
<https://console.mbaas.nifcloud.com/login>",2020-01-13
CHGBUNZRS,03ab48d5-c694-4e95-ba36-2ae48c3e4f0e,1578933532.0149,1578932859.0142,UHG1M1NQ6,"• 例外処理を施していないので予期せぬ操作をするとエラーがでると思う
• 今のところ想定しているエラー：画像データを3枚以上アップロードしていない状態で表示させる場合シャットダウン",2020-01-13
CHGBUNZRS,e70b3926-ad16-4a33-b5e9-60cbb4062c64,1568558741.0005,,UHG1M1NQ6,,2019-09-15
CHGBUNZRS,4a6850d0-79d9-4c3a-9793-e64ab9ffd050,1581057347.0009,,UHG1M1NQ6,<@UHFLB6JPR> アプリケーションの一例画像を挿入し、それに伴う他の修正を行いましたので、こちらのファイルをwebの方にアップロードいたします。,2020-02-06
CHGBUNZRS,2ca30a03-ba82-4149-afbb-09ef5c8e3a0e,1572582728.0002,,UHG1M1NQ6,,2019-10-31
CHGBUNZRS,7e14a7c3-e006-4eb3-88d4-37257486b16a,1568021113.0001,,UGQV9DXRC,"清水くん詳録
遅くなってごめんね！",2019-09-09
CHGBUNZRS,fd2d3a84-f2d4-4721-97d1-7808b35aba28,1568028259.0007,,UHG1M1NQ6,ありがとうございます！！,2019-09-09
CHGBUNZRS,4a2a20be-dc84-4ac2-ac25-066ac6e035d3,1568089081.0003,,UHG1M1NQ6,まだ途中,2019-09-09
CHGBUNZRS,95ce6fa8-188f-4832-8557-714de6114f98,1582617025.0012,,UGQV9DXRC,ポスターの進捗どう？金曜には印刷出した方が良いと思うし、学外の先生に許可とらなきゃいけないから早めにね,2020-02-24
CHGBUNZRS,383248b1-3cd2-4631-ab17-75d2ce7019c9,1576047882.0011,,UGQV9DXRC,"文章の共有方法が変わったのでチェックしてね！
自分用に共有する時はファイルをアップするだけでいいんだけど、先生にも見てほしい時はドライブにアップしてください～
<https://ohkawaralab.slack.com/archives/CHJN0BV89/p1575953508013000>",2019-12-10
CHGBUNZRS,e2aea361-99ae-4e12-b79f-6235159ab54c,1576049836.0023,,UHG1M1NQ6,承知しました。ver2をバイト後にアップします。,2019-12-10
