channel_id,talk_id,ts,thread_ts,talk_user,text,date
CHGBW1WUC,54688808-f3d5-4dee-a2ec-662dfb096706,1568883455.0004,,UHFLC6N4X,文字削減　図表多めに変更版,2019-09-19
CHGBW1WUC,6a4cd5fc-3fee-47d5-a5b9-fd266dfe40e9,1568883738.0017,,UHFLB6JPR,"背景がまだ文字だけだからもう少し頑張れると
",2019-09-19
CHGBW1WUC,edbb2c6d-e966-4996-9386-1ebd78adfa04,1568883798.0033,,UHFLB6JPR,2つの手法の特徴、強みを3枚目にうまく出せるといいです,2019-09-19
CHGBW1WUC,97a3e2ca-410e-4a7a-9f98-b3d669d9489d,1568884023.0048,,UHFLC6N4X,背景の内容的に入れ込みたい図表が特に見当たらないです。3枚目、特徴強みを軽く文字化しておきます,2019-09-19
CHGBW1WUC,c7dcc14b-968a-458c-b2e2-99cab23b3a13,1568884035.0051,,UGQV9DXRC,"一枚目の背景、「医療費推定の必要性と難しさ」は背景の横に出してもいいんじゃない？
背景：医療費推定の必要性と難しさ
みたいに
それでもだいぶ詰まってるように見えるけど、、",2019-09-19
CHGBW1WUC,83350eed-1d86-4995-9a5e-de78fab926d1,1568884081.0054,,UHFLC6N4X,了解です。,2019-09-19
CHGBW1WUC,dc72c50d-c184-47b4-925f-35e4e3c40e59,1568884235.0055,,UGQV9DXRC,"これはハックなんだけど、バックに色を付けて視覚的に差別化しやすいようにしておくと、文章多めでも割と読める感じになる
とはいえもう少し削れたり簡易化できそうならしてみてー",2019-09-19
CHGBW1WUC,22399af1-399b-4274-adc9-9249119d1aa4,1568884292.006,,UGQV9DXRC,"これにも載ってるのでみてみるとよき
<https://drive.google.com/file/d/0B9LddT13f9YtMTczRUlCWkZWQVU/view>",2019-09-19
CHGBW1WUC,b130332f-3cdc-494d-b5bb-e0b5d9e5007b,1568884382.0071,,UHFLC6N4X,:custom_shochi:,2019-09-19
CHGBW1WUC,e8341515-65eb-4576-92b2-de101ea936f7,1564628412.0001,,UHFLC6N4X,,2019-07-31
CHGBW1WUC,a3d30f60-68af-432d-a2d1-c3d1bd4f4da7,1581591756.0001,,UHFLC6N4X,最終,2020-02-13
CHGBW1WUC,88d74715-5ea6-4577-b816-3278704c0f05,1581595103.0011,,UHFLC6N4X,、,2020-02-13
CHGBW1WUC,df772b02-fab4-48eb-ae6a-445421bb3c5c,1580894051.0001,,UHFLC6N4X,"訂正，追加事項
2.5の項目(機械学習のまとめ表），メタボ判定を除いて再検証けっかまとめ，4章の最後に各検証での各モデルの最も結果が良かった数値の表のまとめ",2020-02-05
CHGBW1WUC,6b5494b8-26ee-4a42-a41c-b99500fa6b5d,1580894622.0014,,UHFLB6JPR,前回あげた課題は修正できているのでひとまずこれで上げてもいいです。何かあればまた連絡します。,2020-02-05
CHGBW1WUC,5d8cfd0b-c4a4-4a6e-a155-882b037a0c32,1580895620.0016,,UHFLC6N4X,了解しました。,2020-02-05
CHGBW1WUC,507cd371-d322-4ee8-ba14-e9580b517f6a,1568826139.0006,,UHFLC6N4X,再提出,2019-09-18
CHGBW1WUC,e788474d-ef87-4f0b-be22-ee652fdfe8a0,1568846490.0003,,UHFLB6JPR,登録してください,2019-09-18
CHGBW1WUC,782d5fe5-b982-418f-9a02-d7a929a314f9,1568846504.0006,,UHFLB6JPR,登録したら連絡をして,2019-09-18
CHGBW1WUC,8b92708d-288c-4eb8-b0cf-5a051a2ceff5,1568873076.0001,,UHFLC6N4X,提出済み発表会資料（PDF),2019-09-18
CHGBW1WUC,f44f59b8-9b80-418e-a23f-a5f07fd147b9,1581470038.0002,,UHFLB6JPR,,2020-02-11
CHGBW1WUC,8aeb494d-a3c1-42ed-b6c8-b00bf0df9240,1581470076.001,,UHFLB6JPR,少しだけ修正したので、これが最終でOKです。アップしてください。,2020-02-11
CHGBW1WUC,6ad1e49b-c32b-499a-b9e1-87962b7fd31c,1581470203.0023,,UHFLB6JPR,修正履歴はすべてクリア（承諾タブからできます）にしてからアップロードしてください。,2020-02-11
CHGBW1WUC,ba56561e-4a61-4727-9e53-97313f0e5cb1,1568679372.0007,,UHFLB6JPR,表1の有意差検定は？,2019-09-16
CHGBW1WUC,10300296-d569-4d26-9605-d3c5a07fe52d,1568682992.0006,,UHFLC6N4X,導出の仕方がよくわかりません,2019-09-16
CHGBW1WUC,222abd4c-a592-4546-8972-ae6c57c7c601,1568685577.001,,UHFLB6JPR,岡田に聞いてない？,2019-09-16
CHGBW1WUC,ee6b0f68-3e6c-4213-9e68-35fc1801a73a,1568685936.0016,,UHFLC6N4X,はい。とりあえず精度だけって話になりまして。,2019-09-16
CHGBW1WUC,179d9e5e-097d-4ef6-87d4-66931003c826,1568690127.0036,,UGQV9DXRC,岡田くんはポスターで識別率とK係数出してますが、それとは別で検定をかけるという事でしょうか？,2019-09-16
CHGBW1WUC,e7ee4786-baa7-41b0-953d-09519fbea872,1568690183.0046,,UGQV9DXRC,理解が浅いのですが、もしΚ係数でよいならコードが残ってるかなと,2019-09-16
CHGBW1WUC,bf37782e-3f44-401e-b5a2-2fc68d08ce4d,1568693858.0049,,UHFLC6N4X,F値削った版,2019-09-16
